nativeUnOpt;1000;0.520316
nativeOpt;1000;0.394714
nativeUnOpt;1000;0.488942
unmangedOpt;1000;0.356120
unmangedNoOpt;1000;0.414446
managedOpt;1000;0.358941
ManagedUnOpt;1000;0.421849
nativeOpt;5000;1.219401
nativeUnOpt;5000;1.666334
unmangedOpt;5000;0.973299
unmangedNoOpt;5000;1.484634
managedOpt;5000;0.982023
ManagedUnOpt;5000;1.531845
nativeOpt;10000;2.202728
nativeUnOpt;10000;3.291833
unmangedOpt;10000;2.095973
unmangedNoOpt;10000;2.852869
managedOpt;10000;2.076067
ManagedUnOpt;10000;2.880061
nativeOpt;15000;3.100721
nativeUnOpt;15000;4.975257
unmangedOpt;15000;2.752167
unmangedNoOpt;15000;4.429948
managedOpt;15000;2.783002
ManagedUnOpt;15000;4.533148
nativeOpt;20000;4.624058
nativeUnOpt;20000;6.948144
unmangedOpt;20000;4.314541
unmangedNoOpt;20000;6.829476
managedOpt;20000;4.140728
ManagedUnOpt;20000;6.058264
nativeOpt;30000;7.783983
nativeUnOpt;30000;11.547999
unmangedOpt;30000;6.968896
unmangedNoOpt;30000;10.446641
managedOpt;30000;6.763895
ManagedUnOpt;30000;10.410089
nativeOpt;50000;13.241112
nativeUnOpt;50000;21.841534
unmangedOpt;50000;11.245383
unmangedNoOpt;50000;19.053712
managedOpt;50000;11.027947
ManagedUnOpt;50000;18.810482
